Gene,Response
GTEX-111CU,0.390175547
GTEX-111FC,0.031205786
GTEX-111VG,0.190419769
GTEX-111YS,-0.430289563
GTEX-1122O,-0.389549597
GTEX-1128S,-0.611894683
GTEX-117YW,-0.364923022
GTEX-117YX,0.144577652
GTEX-11DXX,-0.631441518
GTEX-11DXZ,0.023744443
GTEX-11DZ1,0.01251733
GTEX-11EMC,-0.339572226
GTEX-11EQ9,0.537443888
GTEX-11GSP,-0.53092611
GTEX-11I78,-0.538023234
GTEX-11NUK,-0.186630624
GTEX-11P7K,-0.665300713
GTEX-11P81,0.081299816
GTEX-11PRG,0.177106558
GTEX-11TT1,-0.00675079
GTEX-11WQC,-0.014986593
GTEX-11ZTS,0.085086186
GTEX-11ZTT,-0.260768678
GTEX-11ZUS,0.230504262
GTEX-1211K,0.814365459
GTEX-12584,0.73178589
GTEX-12BJ1,-0.604425892
GTEX-12KS4,-0.903027108
GTEX-12WSD,-0.082566535
GTEX-12WSE,-1.321482212
GTEX-12WSG,-0.529853104
GTEX-12WSH,-0.376797956
GTEX-12WSI,-0.855789024
GTEX-12WSK,-0.282590002
GTEX-12WSL,0.084724928
GTEX-12WSN,-0.032883247
GTEX-12ZZW,-0.084958996
GTEX-12ZZY,0.508375337
GTEX-13111,-0.533630008
GTEX-1313W,0.029522155
GTEX-131XE,-0.287704471
GTEX-131XF,-0.366787995
GTEX-131XH,0.196602185
GTEX-131XW,-0.175039211
GTEX-131YS,0.750915226
GTEX-132NY,-0.610794789
GTEX-132QS,-0.248820099
GTEX-133LE,0.602348192
GTEX-139TT,0.566418796
GTEX-139UW,0.78931212
GTEX-139YR,0.006320377
GTEX-13D11,-0.397445828
GTEX-13FH7,-0.281380489
GTEX-13FHO,-0.394872252
GTEX-13FHP,-0.577100214
GTEX-13FLV,-0.831600589
GTEX-13FTX,0.129673902
GTEX-13FTY,-0.503751197
GTEX-13FTZ,-0.554149529
GTEX-13G51,0.506602014
GTEX-13JUV,0.359189974
GTEX-13JVG,-1.072975485
GTEX-13N11,0.01495256
GTEX-13N2G,-0.708048163
GTEX-13NYB,-0.143981166
GTEX-13NYS,1.122308952
GTEX-13NZ8,-0.105697886
GTEX-13NZ9,-0.01995001
GTEX-13NZA,1.502177335
GTEX-13O21,-0.290039821
GTEX-13O3O,-0.129285866
GTEX-13O61,-0.379147944
GTEX-13OVG,-0.127120626
GTEX-13OVJ,-0.078364037
GTEX-13OW6,-0.853658392
GTEX-13PVQ,0.288111805
GTEX-13QBU,0.341896578
GTEX-13QJ3,-0.207805385
GTEX-13QJC,0.303966092
GTEX-13S86,-0.949216285
GTEX-13U4I,-0.510517885
GTEX-13VXT,0.001809524
GTEX-13VXU,0.370744521
GTEX-145MF,0.006757117
GTEX-145MN,0.151070357
GTEX-145MO,0.172906473
GTEX-146FH,-0.961967236
GTEX-146FQ,0.74852101
GTEX-1477Z,-0.205273849
GTEX-147F4,0.364777992
GTEX-147JS,-0.615761653
GTEX-148VI,0.137041208
GTEX-148VJ,0.10583984
GTEX-1497J,0.441762556
GTEX-14A6H,0.577366263
GTEX-14ABY,-0.015802936
GTEX-14DAR,0.42529318
GTEX-N7MS,-0.272315968
GTEX-NFK9,0.054973838
GTEX-NL3G,-0.814260155
GTEX-O5YT,-0.261102589
GTEX-O5YV,1.32499074
GTEX-O5YW,-0.013545348
GTEX-OHPK,-0.509054263
GTEX-OHPM,-0.21483319
GTEX-OIZG,0.410437659
